EventName,캐릭터/아이템 이름,대사,선택지
,,오랜만에 친구들과 모이는 날이라서 옷차림에 꽤 신경을 쓰느라@ 옷장을 헤뒤집어 가며 오늘의 패션을 고르고 있었지. 아주 신중하게.,
,,그 때@ 또 휴대폰 알람이 울렸어! 아@ 기상하라는 알람 말고@ 출발하라는 알람 말이야.,
,,알다시피 요새 건망증이 심해서@ 알람을 여러 개씩 맞춰두지 않으면 어찌나 불안하던지@ 호호호.,
,,어머@ 그런데 무슨 얘기 중이었더라?,
,,……아~ 그래그래. 내 지갑!,
,,휴대폰 알람 소리를 듣고 급하게 휴대폰을 챙겨서 나온 것까지는 기억하는데@ 지갑은 어떻게 했는지 도저히 기억이 안 나는 거 있지…,들고 오다가 길에 떨어뜨렸을 지도 몰라요!/가방 깊숙한 곳에 들어있지 않을까요?/혹시 바지 뒷주머니에?
end,,,
,,,
수다쟁이 부인 2-3,수다쟁이 부인,세상에@ 아무리 그래도 그렇지. 날 대체 뭐라고 생각하는 거니?,
,,조금 건망증이 있을 뿐이지@ 머리에 문제가 있는 건 아니니까 말이야. 지갑을 식기세척기에 넣는 사람이 세상에 어디 있니?,
,,이런 어린 로봇한테 물어 본 내 잘못이지. 아아@ 내 지갑은 대체 어디에 있는 걸까…,
end,,,
,,,
수다쟁이 부인 3-1,수다쟁이 부인,그래… 그랬을지도 모르겠구나.,
,,하지만@ 이 곳에 살고 있는 너라면 잘 알잖니. 이 마을 사람들이 얼마나 친절한지!,
,,내가 길거리에서 지갑을 떨어뜨렸다면@ 반드시 누군가가 주워서 내게 건네줬을 거야. 오@ 적어도 나는 그렇게 믿고 싶어.,
,,일단은 지갑을 조금 더 찾아봐야겠어. 하… 정말 어디로 간 거람.,
end,,,
,,,
수다쟁이 부인 3-2,수다쟁이 부인,말도 마렴@ 얘야.,
,,아까부터 30분 째 가방 구석구석 다 뒤져봤지만@ 지갑은 커녕 지폐 한 장도 안 나오더구나.,
,,이대로면 기차 시간에 늦고 말텐데@ 정말 큰일이야…,
end,,,
,,,
수다쟁이 부인 3-3,수다쟁이 부인,어머나@ 세상에! 너 탐정해도 되겠다@ 얘!,
,,아까 전부터 가방만 샅샅이 뒤지고 있었는데@ 설마 이런 곳에 있었을 줄이야…,
,,세상에@ 고마워라. 꼬마야@ 별 건 아니지만 내 성의니까 받아주렴. 지갑 찾는 걸 도와줘서 고맙다!,
,.,"""지폐""를 획득하였습니다.",
end,,,
